C C
C#C C#[CH:1]
C#N C#[N:1]
C#N N#[CH:1]
C1#CC=CCOCC=C1 C1#CC=C[CH2:1]OCC=C1
C1#CCN=CNC=NC1 C1#C[CH2:1]N=CNC=NC1
C1#CCN=COCC=C1 C1#CCN=CO[CH2:1]C=C1
C1#CCOC=NCC=C1 C1#CCOC=N[CH2:1]C=C1
C1=CC=CC=C1 C1=CC=[CH:1]C=C1
C1=CC=CC=C1 C1=CC=[CH:1][CH:1]=C1
C1=CC=CC=C1 C1=C[CH:1]=[CH:1]C=C1
C1=CC=CCC=C1 C1=CC=C[CH2:1]C=C1
C1=CC=CCC=C1 C1=CC=[CH:1]CC=C1
C1=CC=CCC=C1 C1=CCC=C[CH:1]=C1
C1=CC=CCC=C1 C1=CCC=[CH:1]C=C1
C1=CC=CNC=C1 C1=CC=C[NH:1]C=C1
C1=CC=CNC=CC=C1 C1=CC=C[NH:1]C=CC=C1
C1=CC=CNC=NC=C1 C1=CC=C[NH:1]C=NC=C1
C1=CC=CNCC=C1 C1=CC=C[CH2:1]NC=C1
C1=CC=COC=CC=C1 C1=CC=C[O:1]C=CC=C1
C1=CC=COC=NC=C1 C1=CC=C[O:1]C=NC=C1
C1=CC=NC=C1 C1=CC=[CH:1]N=C1
C1=CC=NC=C1 C1=CN=C[CH:1]=C1
C1=CC=NC=C1 C1=CN=[CH:1]C=C1
C1=CC=NC=C1 C1=CN=[CH:1][CH:1]=C1
C1=CC=NC=C1 C1=C[CH:1]=CC=N1
C1=CC=NC=C1 C1=C[CH:1]=CN=C1
C1=CC=NC=C1 C1=C[CH:1]=[CH:1]C=N1
C1=CC=NC=C1 C1=C[CH:1]=[CH:1]N=C1
C1=CC=NC=C1 C1=NC=[CH:1][CH:1]=C1
C1=CC=NC=CNC=C1 C1=CC=NC=C[NH:1]C=C1
C1=CC=NC=COC=C1 C1=CC=NC=C[O:1]C=C1
C1=CC=NCC=C1 C1=CC=N[CH2:1]C=C1
C1=CC=NCC=C1 C1=CC=[CH:1]CN=C1
C1=CC=NCC=C1 C1=CCN=C[CH:1]=C1
C1=CC=NCC=C1 C1=CCN=[CH:1]C=C1
C1=CC=NCC=C1 C1=C[CH:1]=CC=NC1
C1=CC=NCC=C1 C1=C[CH:1]=CCN=C1
C1=CC=NCN=C1 C1=CC=N[CH2:1]N=C1
C1=CC=NCN=C1 C1=C[CH:1]=NCN=C1
C1=CC=NCN=C1 C1=NCN=C[CH:1]=C1
C1=CCC=C1 C1=CC[CH:1]=C1
C1=CCC=C1 C1=C[CH2:1]C=C1
C1=CCC=C1 C1=C[CH2:1][CH:1]=C1
C1=CCC=CN=C1 C1=CCC=[CH:1]N=C1
C1=CCC=CN=C1 C1=CC[CH:1]=CN=C1
C1=CCC=CN=C1 C1=CN=CC=[CH:1]C1
C1=CCC=CN=C1 C1=CN=C[CH:1]=CC1
C1=CCC=CN=C1 C1=CN=[CH:1]C=CC1
C1=CCC=CN=C1 C1=C[CH2:1]C=CN=C1
C1=CCC=NC=C1 C1=CCC=N[CH:1]=C1
C1=CCC=NC=C1 C1=CC[CH:1]=NC=C1
C1=CCC=NC=C1 C1=CN=CC[CH:1]=C1
C1=CCC=NC=C1 C1=CN=C[CH2:1]C=C1
C1=CCC=NC=C1 C1=C[CH:1]=CCC=N1
C1=CCC=NC=C1 C1=C[CH:1]=CN=CC1
C1=CCCC1 C1=CC[CH2:1]C1
C1=CCCC1 C1=C[CH2:1]CC1
C1=CCCC1 C1=C[CH2:1][CH2:1][CH2:1]1
C1=CCCC1 C1=[CH:1]CCC1
C1=CCCC1 C1[CH2:1][CH:1]=[CH:1][CH2:1]1
C1=CCCC=C1 C1=CC[CH2:1]C=C1
C1=CCCC=C1 C1=C[CH2:1][CH2:1]C=C1
C1=CCCC=CC1 C1=CCC[CH:1]=CC1
C1=CCCC=CC1 C1=CC[CH2:1]C=CC1
C1=CCCC=CC1 C1=CC[CH:1]=CCC1
C1=CCCC=CC1 C1=C[CH2:1]C=CCC1
C1=CCCCC1 C1=CC[CH2:1]CC1
C1=CCCCC1 C1=C[CH2:1]CCC1
C1=CCCCC=C1 C1=CCCC[CH:1]=C1
C1=CCCCC=C1 C1=CCC[CH2:1]C=C1
C1=CCCCC=C1 C1=CC[CH2:1]CC=C1
C1=CCCCC=C1 C1=C[CH:1]=CCCC1
C1=CCCN=C1 C1=CC[CH2:1]N=C1
C1=CCCN=C1 C1=C[CH2:1]CN=C1
C1=CCCN=C1 C1=C[CH2:1][CH2:1]N=C1
C1=CCCNC=C1 C1=CC[CH2:1]NC=C1
C1=CCCNC=C1 C1=CNC[CH2:1]C=C1
C1=CCCNN=C1 C1=CC[CH2:1]NN=C1
C1=CCCNN=C1 C1=C[CH2:1]CNN=C1
C1=CCCOC=C1 C1=CC[CH2:1]OC=C1
C1=CCCOC=C1 C1=COC[CH2:1]C=C1
C1=CCCON=C1 C1=CC[CH2:1]ON=C1
C1=CCCON=C1 C1=C[CH2:1]CON=C1
C1=CCN=C1 C1=C[CH2:1]N=C1
C1=CCN=C1 C1=NC[CH:1]=C1
C1=CCN=C1 C1=N[CH2:1][CH:1]=C1
C1=CCN=CN=C1 C1=CCN=[CH:1]N=C1
C1=CCN=CN=C1 C1=C[CH2:1]N=CN=C1
C1=CCN=CN=C1 C1=C[CH:1]=NC=NC1
C1=CCN=CN=C1 C1=NC=NCC=[CH:1]1
